EQ ID,Equipment Name,Group
1361,"Saw, Horizontal, Holzma",Machines
135,"Saw,Horizontal, Holz-Her",Machines
1335,Edge Finisher Laminate,Machines
1503,"Router, CNC, Anderson Stratos/Nest TC+D",Machines
5,"Saw, 10' Panel, Laminate Line",Machines
2063,Tenoner A 517 Single End,Machines
151,"3/4 "" Edge Finisher, Solid, Technolegno/ Universal 280",Machines
1877,TLF Intellistore (Rainbow Stacking System)- TLF211,Machines
1570,"1/2 "" Edge Finisher, Solid, Technolegno/ Universal 280",Machines
1724,O-Sama (Joos) Glue Spreader,Machines
5273,Edgebander Homag 2520 Servo 6 Coil,Machines
105,"Drilling Machine CNC, 1040 Laminate",Machines
1879,Gannomat Index 330 Trend/PRO (Solid),Machines
5351,VLM Storage Lift -Small Hardware,Machines
154,"CNC Drilling Machine, Automatic Leveling Bar",Machines
2110,Evolve Double Head Drilling Machine,Machines
1969,Chop saw by Holzma Saw,Machines
13,"Notching machine, 1540 Door",Machines
60,Laminate Slitter,Machines
1159,"Insert 1 Screwdriver, Auto Reverse, Lever",Machines
782,Chop Saw (corner guard pack out Lam.),Machines
102,"Insert Screwdriver, 1080 -1",Machines
779,Router Station (Stile Building cell),Machines
780,Drill Press (Stile Building Cell),Machines
1584,Pinch Roller (Heated),Machines
1561,Step Drill 1080/1090 CNC Drilling Machine,Machines
61,"Screwdriver, Insert, 1080-2",Machines
1562,Step Drill 1040 CNC Drilling Machine,Machines
27,Forklift # T4,Vehicles
181,Stacker R-19,Vehicles
29,Forklift # T20,Vehicles
819,Scissor Lift Holzma Saw,Vehicles
28,Forklift # T5,Vehicles
815,Scissor Lift #1 (small) Holz-Her Saw,Vehicles
817,Scissor Lift Holz-Her Edge Bander,Vehicles
157,"Sissors Lift, HolzHer Saw",Vehicles
814,Scissor Lift # 2 (large) Holz-Her Saw,Vehicles
816,"Scissor Lift 1/2"" Edge Finisher",Vehicles
818,"Scissor Lift 3/4"" solid Edge Finisher",Vehicles
1658,TPF,General
5341,General Maintenance,General
1648,Laminate Cell,General
2103,Flamex spark detection and extinguishing system,General
1647,Solid Cell,General
1571,Concrete floor,General
63,"Return System, Thomas, 1040 Edgebander",Equipment
749,"Dust Collector, Donaldson Downflo Oval",Equipment
158,"Return System, Thomas, Laminate Trimmer",Equipment
1350,FLIP TABLE,Equipment
1461,"Return system,Thomas,Evolve cell",Equipment
768,Vacuum Lift (Anderson CNC),Equipment
156,"Return System, Thomas, 1/2"" Solid Panels",Equipment
130,"Vacuum Lift 1/2"" panels packout",Equipment
1488,"POP UP Table, 3/4"" Edge Finisher",Equipment
59,Vacuum Lift System (Glue Line ),Equipment
2109,3/4 Thomas return system,Equipment
769,Vacuum Lift Holz-Her Saw,Equipment
5070,Edge finisher Pop UP table,Equipment
96,Vacuum Lift 1080 Line packout,Equipment
1686,Edgebander Pop up table,Equipment
1623,1/2 Pop-up table made in house,Equipment
5218,2 gallon glue tank with hand held glue nozzle gun,Equipment
5071,Evolve cell Pop UP table,Equipment
131,Vacuum Lift Laminate Pack Out,Equipment
72,"FRL - Filter, Regulator, Lubricator",Equipment
804,Meyer rotary airlock (dust collector),Equipment
1457,Panel Handler - 4ft,Equipment
781,Rework Station (Laminate Cell),Equipment
2111,Vacuum Lift Evolve Cell,Equipment
1569,CNC Drill Setup Gage-1080,Gages and Jigs
1656,Drill Jig - OS Door Hinge,Gages and Jigs
1568,CNC Drill Setup Gage-1040,Gages and Jigs
1542,"Gage (Go/No Go), Drill Diameter, Laminate",Gages and Jigs
1544,Cutout Jig B3471/B3571,Gages and Jigs
1543,"Cutout Jig B357, B347",Gages and Jigs
1654,Drill Jig - for Door Hinges ( 3 Hinges) Laminate,Gages and Jigs
1657,Drill Jig - for Door Hinges Laminate,Gages and Jigs
1653,Drill Jig - for Hinges Stile -I/S-O/S FC For Laminate,Gages and Jigs
1655,Drill Jig - for Hinges for O/S Stile Hinges,Gages and Jigs
121,"Drill Jig, 1080/ 1090 Leveling Bar",Gages and Jigs
1541,"Gage (Go/No Go), Drill Diameter, Solid",Gages and Jigs
1511,"Jig, Drill, T-203040 ECOR T-Nut Drill, Laminate",Gages and Jigs
1575,Laminate Drill Hole Depth Gage,Gages and Jigs
5352,TPT CL 1005 ANDY,Gages and Jigs
5354,TPT CL 1005 TENO,Gages and Jigs
1564,Cart - TPF Finish Goods,Carts
812,Drywall Carts 1-15,Carts
810,Job Carts 1-6,Carts
813,Materal Carts 1-2,Carts
811,Pack out Carts 1-6,Carts
155,"Shaper, Single Spindle, Northfield",Tools
1160,"Driver, Pulse Tool, 1080 Leveling Bar,Desoutter model PTF022-T6500-S4Q",Tools
64,"Driver, Pulse Tool, 1080 Leveling Bar",Tools
1563,Step Drill & Stop Phenolic Series Insert,Tools
