equipment_id,equipment_eq_id,equipment_name,department,wo_id,audit_item,status,due_date,work_performed_by,labor_time,material_cost,downtime_hours,completed_datetime,comments,attachments
1796,EQ ID 1796,"8"" Digimatic Caliper, A 18018637, MS, Victor",Machine Shop,975,Check accuracy and general condition,Pending,3/18/2023,,0.00,0.00,0.00,,,[]
19,EQ ID 19,Mill,Machine Shop,2592,Check oil and lubricate (weekly),Closed and Completed,10/20/2022,mike,0.00,0.00,0.00,2/20/2023,"Miguel Diaz - 02/20/23  9:09:23 AM: Did maintenance below 
1)Check all safety devices.
2)Inspect drive belts, replace if cracking.
3)Top off cylinder oil if necessary.
4)Tighten pulleys and pillow blocks.
5)Lightly oil cylinder shafts.
6)Check cutting surfaces and back plates for wear.
7)Check saw blades for glue buildup and wear.
8)Check oilers for drills and add oil when needed.
9)Check for air leaks.
10)Place a test piece in the machine and notch the door *Check to
 see that the door does not move forward or side to side adjust clamps if needed or replace drills 
11)Replaced both drill 49/64 and 3/8  drills.",[]
19,EQ ID 19,Mill,Machine Shop,17,"(1) Check motor;
(2) Check bearings;
(3) Check belts;
(4) Check brake",Closed and Completed,3/18/2023,md,0.00,0.00,0.00,3/10/2023,,[]
19,EQ ID 19,Mill,Machine Shop,4910,"(1) Check motor;
(2) Check bearings;
(3) Check belts;
(4) Check brake",Closed and Completed,3/20/2024,md,0.20,0.00,0.00,4/13/2024,Miguel Diaz - 04/13/24 10:23:07 AM: Replaced both drills,[]
19,EQ ID 19,Mill,Machine Shop,11179,"(1) Check motor;
(2) Check bearings;
(3) Check belts;
(4) Check brake",Closed and Completed,4/13/2025,PU,0.50,0.00,0.00,10/17/2025,Primo Uy - 10/17/25  7:24:41 AM: Done,[]
20,EQ ID 20,Mill,Machine Shop,18,"(1) Check motor;
(2) Check bearings;
(3) Check belts;
(4) Check brake",Closed and Completed,3/18/2023,md,0.00,0.00,0.00,3/10/2023,,[]
20,EQ ID 20,Mill,Machine Shop,4911,"(1) Check motor;
(2) Check bearings;
(3) Check belts;
(4) Check brake",Closed and Completed,3/20/2024,md,0.20,0.00,0.00,4/13/2024,Miguel Diaz - 04/13/24 10:23:22 AM: Replaced both drills,[]
20,EQ ID 20,Mill,Machine Shop,11180,"(1) Check motor;
(2) Check bearings;
(3) Check belts;
(4) Check brake",Closed without Action,4/13/2025,PU,0.00,0.00,0.00,10/17/2025,Primo Uy - 10/17/25  7:25:34 AM: Obsolate,[]
21,EQ ID 21,"Lathe, Hardinge",Machine Shop,2593,Check oil and lubricate (weekly),Closed and Completed,10/20/2022,mike,0.00,0.00,0.00,2/20/2023,"Miguel Diaz - 02/20/23  9:09:34 AM: Did maintenance below 
1)Check all safety devices.
2)Inspect drive belts, replace if cracking.
3)Top off cylinder oil if necessary.
4)Tighten pulleys and pillow blocks.
5)Lightly oil cylinder shafts.
6)Check cutting surfaces and back plates for wear.
7)Check saw blades for glue buildup and wear.
8)Check oilers for drills and add oil when needed.
9)Check for air leaks.
10)Place a test piece in the machine and notch the door *Check to
 see that the door does not move forward or side to side adjust clamps if needed or replace drills 
11)Replaced both drill 49/64 and 3/8  drills.",[]
21,EQ ID 21,"Lathe, Hardinge",Machine Shop,19,"Check motor, bearings, belts, brakes",Closed and Completed,3/18/2023,md,0.20,0.00,0.00,3/10/2023,,[]
21,EQ ID 21,"Lathe, Hardinge",Machine Shop,4475,Check oil and lubricate (weekly),Closed and Completed,4/20/2023,md,0.00,0.00,0.00,5/12/2023,"Miguel Diaz - 05/12/23 11:31:58 AM: Inspect the Laminate process/machinery from saw all the way to finish good for chips, dents, and scratches
*Check that no machine covers are sticking up that could be in the way of the passing parts on the  edge bander
*Check tape on edge bander return system transition .
*Check Pop up table stopper to have rubber in front of it 
*Check tape on end cover of the return system 
*Check for Glue spreader infeed table stile supports rounded edges 
*Check rubber on Yellow L brackets .
*Check Edge trimmer electrical board to be covered with Rubber 
*Check tape on return system transition 
*Check wheels stopper to have rubber in the front 
*Check pop up table stile staging area replace rubber if needed .
*Check 1540 door notcher to have rounded edges and rubber on table top 
*Check stile clamp to have rounded edges and not sharp also blow down table top ,wipe and spray with silicone spray 
*Check Gannomatt machine it should  not have  hardware sticking up past the table top blow down table top  and wipe and spray with silicone spray ..",[]
21,EQ ID 21,"Lathe, Hardinge",Machine Shop,5661,Check oil and lubricate (weekly),Closed and Completed,7/12/2023,md,0.10,0.00,0.00,9/20/2023,Miguel Diaz - 09/20/23  7:32:59 AM: Replaced drill,[]
21,EQ ID 21,"Lathe, Hardinge",Machine Shop,7295,Check oil and lubricate (weekly),Closed and Completed,11/20/2023,md,0.00,0.00,0.00,1/18/2024,Miguel Diaz - 01/17/24 11:21:04 AM: done,[]
21,EQ ID 21,"Lathe, Hardinge",Machine Shop,4917,"Check motor, bearings, belts, brakes",Closed and Completed,3/20/2024,md,0.20,0.00,0.00,4/13/2024,Miguel Diaz - 04/13/24 10:22:22 AM: Replaced both drills,[]
21,EQ ID 21,"Lathe, Hardinge",Machine Shop,10013,Check oil and lubricate (weekly),Closed and Completed,3/17/2024,md,0.00,0.00,0.00,5/9/2024,,[]
21,EQ ID 21,"Lathe, Hardinge",Machine Shop,11593,Check oil and lubricate (weekly),Closed and Completed,7/9/2024,.,0.20,0.00,0.00,8/14/2024,Miguel Diaz - 08/14/24  9:18:58 AM: Check oil and lubricate (weekly),[]
21,EQ ID 21,"Lathe, Hardinge",Machine Shop,12762,Check oil and lubricate (weekly),Closed and Completed,10/14/2024,G Shinobi,0.20,0.00,0.00,3/12/2025,,[]
21,EQ ID 21,"Lathe, Hardinge",Machine Shop,11176,"Check motor, bearings, belts, brakes",Closed without Action,4/13/2025,PU,0.00,0.00,0.00,10/17/2025,Primo Uy - 10/17/25  7:21:19 AM: Ship To other bobrock division,[]
22,EQ ID 22,Lathe,Machine Shop,2594,Check oil and lubricate (weekly),Closed and Completed,10/20/2022,mike,0.00,0.00,0.00,2/20/2023,"Miguel Diaz - 02/20/23  9:09:43 AM: Did maintenance below 
1)Check all safety devices.
2)Inspect drive belts, replace if cracking.
3)Top off cylinder oil if necessary.
4)Tighten pulleys and pillow blocks.
5)Lightly oil cylinder shafts.
6)Check cutting surfaces and back plates for wear.
7)Check saw blades for glue buildup and wear.
8)Check oilers for drills and add oil when needed.
9)Check for air leaks.
10)Place a test piece in the machine and notch the door *Check to
 see that the door does not move forward or side to side adjust clamps if needed or replace drills 
11)Replaced both drill 49/64 and 3/8  drills.",[]
22,EQ ID 22,Lathe,Machine Shop,4476,Check oil and lubricate (weekly),Closed and Completed,2/27/2023,Mike,0.00,0.00,0.00,2/20/2023,Miguel Diaz - 02/20/23  9:11:19 AM: Removed and cleaned filter checked hardware for loose,[]
22,EQ ID 22,Lathe,Machine Shop,4480,Check oil and lubricate (weekly),Closed and Completed,2/27/2023,md,0.20,0.00,0.00,3/10/2023,,[]
22,EQ ID 22,Lathe,Machine Shop,20,"Check motor, bearings, belts, brakes",Closed without Action,3/18/2023,md,0.00,0.00,0.00,3/10/2023,,[]
22,EQ ID 22,Lathe,Machine Shop,4909,Check oil and lubricate (weekly),Closed and Completed,3/27/2023,md,0.20,0.00,0.00,3/20/2023,,[]
22,EQ ID 22,Lathe,Machine Shop,4919,Check oil and lubricate (weekly),Closed and Completed,3/27/2023,md,0.10,0.00,0.00,3/20/2023,,[]
22,EQ ID 22,Lathe,Machine Shop,4920,Check oil and lubricate (weekly),Closed and Completed,3/27/2023,md,0.00,0.00,0.00,3/20/2023,,[]
22,EQ ID 22,Lathe,Machine Shop,4921,Check oil and lubricate (weekly),Closed without Action,3/27/2023,md,0.00,0.00,0.00,3/20/2023,,[]
22,EQ ID 22,Lathe,Machine Shop,4922,Check oil and lubricate (weekly),Closed and Completed,3/27/2023,,0.00,0.00,0.00,4/12/2023,,[]
22,EQ ID 22,Lathe,Machine Shop,5235,Check oil and lubricate (weekly),Closed and Completed,4/19/2023,md,0.00,0.00,0.00,5/12/2023,"Miguel Diaz - 05/12/23 11:31:49 AM: Inspect the Laminate process/machinery from saw all the way to finish good for chips, dents, and scratches
*Check that no machine covers are sticking up that could be in the way of the passing parts on the  edge bander
*Check tape on edge bander return system transition .
*Check Pop up table stopper to have rubber in front of it 
*Check tape on end cover of the return system 
*Check for Glue spreader infeed table stile supports rounded edges 
*Check rubber on Yellow L brackets .
*Check Edge trimmer electrical board to be covered with Rubber 
*Check tape on return system transition 
*Check wheels stopper to have rubber in the front 
*Check pop up table stile staging area replace rubber if needed .
*Check 1540 door notcher to have rounded edges and rubber on table top 
*Check stile clamp to have rounded edges and not sharp also blow down table top ,wipe and spray with silicone spray 
*Check Gannomatt machine it should  not have  hardware sticking up past the table top blow down table top  and wipe and spray with silicone spray ..",[]
