equipment_id,equipment_eq_id,equipment_name,department,wo_id,audit_item,status,due_date,work_performed_by,labor_time,material_cost,downtime_hours,completed_datetime,comments,attachments
2082,EQ ID 2082,"Digital PSI gauge , 9228301003",Quality Assurance,11282,Micro Quality Calibration,Pending,4/15/2025,,0.00,0.00,0.00,,,[]
2082,EQ ID 2082,"Digital PSI gauge , 9228301003",Quality Assurance,1014,Micro Quality Calibration,Closed without Action,3/18/2023,md,0.00,0.00,0.00,4/15/2024,Miguel Diaz - 04/15/24  9:48:51 AM: they greased three docks as the trucks are gone they will get to the others when time permits,[]
2083,EQ ID 2083,"Digital Force Gauge, 3784067",Quality Assurance,11256,Micro Quality Calibration,Pending,4/15/2025,,0.00,0.00,0.00,,,[]
2083,EQ ID 2083,"Digital Force Gauge, 3784067",Quality Assurance,1015,Micro Quality Calibration,Closed without Action,3/18/2023,md,0.00,0.00,0.00,4/15/2024,Miguel Diaz - 04/15/24  9:45:27 AM: they greased three docks as the trucks are gone they will get to the others when time permits,[]
1945,EQ ID 1945,"EZ Torq II 150i Torque Analyzer, EZ1705007, QA",Quality Assurance,11255,Micro Quality Calibration,Pending,4/15/2025,,0.00,0.00,0.00,,,[]
1945,EQ ID 1945,"EZ Torq II 150i Torque Analyzer, EZ1705007, QA",Quality Assurance,1000,Micro Quality Calibration,Closed without Action,3/18/2023,md,0.00,0.00,0.00,4/15/2024,Miguel Diaz - 04/15/24  9:45:16 AM: they greased three docks as the trucks are gone they will get to the others when time permits,[]
1529,EQ ID 1529,"Digital Force Gage, W08848, QA (CMS Recall)",Quality Assurance,11278,Calibrated by Cornerstone Metrology Service,Pending,4/15/2025,,0.00,0.00,0.00,,,[]
1529,EQ ID 1529,"Digital Force Gage, W08848, QA (CMS Recall)",Quality Assurance,11279,Micro Quality Calibration,Pending,4/15/2025,,0.00,0.00,0.00,,,[]
1529,EQ ID 1529,"Digital Force Gage, W08848, QA (CMS Recall)",Quality Assurance,915,Calibrated by Cornerstone Metrology Service,Closed without Action,3/18/2023,md,0.00,0.00,0.00,4/15/2024,Miguel Diaz - 04/15/24  9:48:17 AM: they greased three docks as the trucks are gone they will get to the others when time permits,[]
1529,EQ ID 1529,"Digital Force Gage, W08848, QA (CMS Recall)",Quality Assurance,916,Micro Quality Calibration,Closed without Action,3/18/2023,md,0.00,0.00,0.00,4/15/2024,Miguel Diaz - 04/15/24  9:48:24 AM: they greased three docks as the trucks are gone they will get to the others when time permits,[]
1591,EQ ID 1591,"Boundary Board, Center Bend Tooling Marks, QA",Quality Assurance,11280,"Any items that need to be replaced, must be ordered from BED.",Pending,4/15/2025,,0.00,0.00,0.00,,,[]
1591,EQ ID 1591,"Boundary Board, Center Bend Tooling Marks, QA",Quality Assurance,937,"Any items that need to be replaced, must be ordered from BED.",Closed without Action,3/18/2023,md,0.00,0.00,0.00,4/15/2024,Miguel Diaz - 04/15/24  9:48:37 AM: they greased three docks as the trucks are gone they will get to the others when time permits,[]
1592,EQ ID 1592,"Boundary Board, Weld Spatter, QA",Quality Assurance,11277,"Any items that need to be replaced, must be ordered from BED",Pending,4/15/2025,,0.00,0.00,0.00,,,[]
