equipment_id,equipment_eq_id,equipment_name,department,wo_id,audit_item,status,due_date,work_performed_by,labor_time,material_cost,downtime_hours,completed_datetime,comments,attachments
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,17733,Lube rollers and chain if needed to prevent or remove the squeek the wheels make when dry .,Pending,12/18/2025,,0.00,0.00,0.00,,Sean Jennings - 06/05/26 10:21:36 AM: Team please review.,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,721,Lube rollers and chain if needed to prevent or remove the squeek the wheels make when dry .,Closed and Completed,4/18/2022,Mike diaz,0.20,0.00,0.00,4/18/2022,Miguel Diaz - 04/19/22  7:11:17 AM: Lubed rollers,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,2764,Lube rollers and chain if needed to prevent or remove the squeek the wheels make when dry .,Closed and Completed,11/13/2022,md,0.10,0.00,0.00,12/9/2022,Miguel Diaz - 12/09/22 12:06:50 PM: lubed rollers,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,3552,Lube rollers and chain if needed to prevent or remove the squeek the wheels make when dry .,Closed and Completed,1/9/2023,md,0.50,0.00,0.00,2/6/2023,,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,4317,Lube rollers and chain if needed to prevent or remove the squeek the wheels make when dry .,Closed and Completed,3/10/2023,md,0.00,0.00,0.00,3/17/2023,Miguel Diaz - 03/20/23 12:58:07 PM: Done,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,4931,Lube rollers and chain if needed to prevent or remove the squeek the wheels make when dry .,Closed and Completed,4/20/2023,MIKE,0.20,0.00,0.00,5/12/2023,"Miguel Diaz - 05/12/23 11:32:40 AM: Inspect the Laminate process/machinery from saw all the way to finish good for chips, dents, and scratches
*Check that no machine covers are sticking up that could be in the way of the passing parts on the  edge bander
*Check tape on edge bander return system transition .
*Check Pop up table stopper to have rubber in front of it 
*Check tape on end cover of the return system 
*Check for Glue spreader infeed table stile supports rounded edges 
*Check rubber on Yellow L brackets .
*Check Edge trimmer electrical board to be covered with Rubber 
*Check tape on return system transition 
*Check wheels stopper to have rubber in the front 
*Check pop up table stile staging area replace rubber if needed .
*Check 1540 door notcher to have rounded edges and rubber on table top 
*Check stile clamp to have rounded edges and not sharp also blow down table top ,wipe and spray with silicone spray 
*Check Gannomatt machine it should  not have  hardware sticking up past the table top blow down table top  and wipe and spray with silicone spray ..",[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,5664,Lube rollers and chain if needed to prevent or remove the squeek the wheels make when dry .,Closed and Completed,6/12/2023,mike d,0.30,0.00,0.00,7/5/2023,Miguel Diaz - 07/05/23  7:45:23 AM: lubed rollers,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,6298,Lube rollers and chain if needed to prevent or remove the squeek the wheels make when dry .,Closed and Completed,8/5/2023,mike d,0.00,0.00,0.00,8/3/2023,Miguel Diaz - 08/03/23  6:48:53 AM: lubed rollers,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,6694,Lube rollers and chain if needed to prevent or remove the squeek the wheels make when dry .,Closed and Completed,9/3/2023,Max Mike d,0.40,0.00,0.00,9/11/2023,Miguel Diaz - 09/11/23  8:32:55 AM: gate closing properly,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,7162,Lube rollers and chain if needed to prevent or remove the squeek the wheels make when dry .,Closed and Completed,10/11/2023,md,0.00,0.00,0.00,11/8/2023,Miguel Diaz - 11/08/23 12:57:07 PM: lubed chain and rollers,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,7971,Lube rollers and chain if needed to prevent or remove the squeek the wheels make when dry .,Closed and Completed,12/8/2023,miked,0.30,0.00,0.00,12/2/2023,Miguel Diaz - 12/02/23  8:03:33 AM: done,[]
