equipment_id,equipment_eq_id,equipment_name,department,wo_id,date_notified,urgency,problem,status,material_cost,labor_time,work_performed_by,downtime_hours,completed_datetime,comments,attachments
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,1302,,,,,,,,,,,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,1924,,,,,,,,,,,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,1932,,,,,,,,,,,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,2513,,,,,,,,,,,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,4155,,,,,,,,,,,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,5447,,,,,,,,,,,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,5640,,,,,,,,,,,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,7057,,,,,,,,,,,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,7069,,,,,,,,,,,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,7307,,,,,,,,,,,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,11020,,,,,,,,,,,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,15079,,,,,,,,,,,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,19565,,,,,,,,,,,[]
1211,EQ ID 1211,Shrink Wrap Machine with Integrated Scale,Shipping,19481,,,,,,,,,,,[]
5338,EQ ID 5338,Stacker #24,Shipping,16343,,,,,,,,,,,[]
5076,EQ ID 5076,International shrink wrap machine,Shipping,1267,,,,,,,,,,,[]
5076,EQ ID 5076,International shrink wrap machine,Shipping,2476,,,,,,,,,,,[]
5076,EQ ID 5076,International shrink wrap machine,Shipping,13295,,,,,,,,,,,[]
5076,EQ ID 5076,International shrink wrap machine,Shipping,13340,,,,,,,,,,,[]
5076,EQ ID 5076,International shrink wrap machine,Shipping,13348,,,,,,,,,,,[]
1925,EQ ID 1925,Stacker 23,Shipping,6832,,,,,,,,,,,[]
1925,EQ ID 1925,Stacker 23,Shipping,17541,,,,,,,,,,,[]
1925,EQ ID 1925,Stacker 23,Shipping,17554,,,,,,,,,,,[]
1925,EQ ID 1925,Stacker 23,Shipping,17558,,,,,,,,,,,[]
1925,EQ ID 1925,Stacker 23,Shipping,17795,,,,,,,,,,,[]
2025,EQ ID 2025,Dock ramps,Shipping,1229,,,,,,,,,,,[]
2025,EQ ID 2025,Dock ramps,Shipping,3193,,,,,,,,,,,[]
2025,EQ ID 2025,Dock ramps,Shipping,3584,,,,,,,,,,,[]
2025,EQ ID 2025,Dock ramps,Shipping,3845,,,,,,,,,,,[]
2025,EQ ID 2025,Dock ramps,Shipping,5446,,,,,,,,,,,[]
2025,EQ ID 2025,Dock ramps,Shipping,12937,,,,,,,,,,,[]
180,EQ ID 180,"Stacker, Electric R-9",Shipping,1140,,,,,,,,,,,[]
180,EQ ID 180,"Stacker, Electric R-9",Shipping,1048,,,,,,,,,,,[]
180,EQ ID 180,"Stacker, Electric R-9",Shipping,2325,,,,,,,,,,,[]
180,EQ ID 180,"Stacker, Electric R-9",Shipping,3083,,,,,,,,,,,[]
180,EQ ID 180,"Stacker, Electric R-9",Shipping,7923,,,,,,,,,,,[]
180,EQ ID 180,"Stacker, Electric R-9",Shipping,11613,,,,,,,,,,,[]
180,EQ ID 180,"Stacker, Electric R-9",Shipping,12931,,,,,,,,,,,[]
180,EQ ID 180,"Stacker, Electric R-9",Shipping,12858,,,,,,,,,,,[]
180,EQ ID 180,"Stacker, Electric R-9",Shipping,13819,,,,,,,,,,,[]
180,EQ ID 180,"Stacker, Electric R-9",Shipping,13757,,,,,,,,,,,[]
180,EQ ID 180,"Stacker, Electric R-9",Shipping,14013,,,,,,,,,,,[]
180,EQ ID 180,"Stacker, Electric R-9",Shipping,14762,,,,,,,,,,,[]
180,EQ ID 180,"Stacker, Electric R-9",Shipping,17148,,,,,,,,,,,[]
180,EQ ID 180,"Stacker, Electric R-9",Shipping,17144,,,,,,,,,,,[]
180,EQ ID 180,"Stacker, Electric R-9",Shipping,17865,,,,,,,,,,,[]
180,EQ ID 180,"Stacker, Electric R-9",Shipping,18037,,,,,,,,,,,[]
180,EQ ID 180,"Stacker, Electric R-9",Shipping,19674,,,,,,,,,,,[]
182,EQ ID 182,Stacker # 10,Shipping,19997,,,,,,,,,,,[]
182,EQ ID 182,Stacker # 10,Shipping,1190,,,,,,,,,,,[]
182,EQ ID 182,Stacker # 10,Shipping,1206,,,,,,,,,,,[]
182,EQ ID 182,Stacker # 10,Shipping,1295,,,,,,,,,,,[]
182,EQ ID 182,Stacker # 10,Shipping,3823,,,,,,,,,,,[]
182,EQ ID 182,Stacker # 10,Shipping,3778,,,,,,,,,,,[]
182,EQ ID 182,Stacker # 10,Shipping,4056,,,,,,,,,,,[]
182,EQ ID 182,Stacker # 10,Shipping,5554,,,,,,,,,,,[]
182,EQ ID 182,Stacker # 10,Shipping,5882,,,,,,,,,,,[]
182,EQ ID 182,Stacker # 10,Shipping,9494,,,,,,,,,,,[]
182,EQ ID 182,Stacker # 10,Shipping,9513,,,,,,,,,,,[]
182,EQ ID 182,Stacker # 10,Shipping,10106,,,,,,,,,,,[]
182,EQ ID 182,Stacker # 10,Shipping,11538,,,,,,,,,,,[]
182,EQ ID 182,Stacker # 10,Shipping,18473,,,,,,,,,,,[]
182,EQ ID 182,Stacker # 10,Shipping,18558,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,1543,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,1681,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,1714,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,1972,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,1973,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,1982,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,2002,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,2023,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,2038,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,2151,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,2170,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,2205,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,2452,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,2573,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,3039,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,3307,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,3632,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,4166,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,4262,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,4470,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,4655,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,4772,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,4821,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,5151,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,5186,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,5224,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,5671,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,5969,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,6399,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,6980,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,7040,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,8003,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,9816,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,11634,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,11769,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,11854,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,12070,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,12141,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,12834,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,13243,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,13292,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,13515,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,13507,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,14241,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,14501,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,14977,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,15229,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,17307,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,17498,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,18178,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,18306,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,18949,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,19033,,,,,,,,,,,[]
1490,EQ ID 1490,General request,Shipping,19797,,,,,,,,,,,[]
30,EQ ID 30,Forklift T 1,Shipping,3128,,,,,,,,,,,[]
30,EQ ID 30,Forklift T 1,Shipping,4222,,,,,,,,,,,[]
30,EQ ID 30,Forklift T 1,Shipping,4631,,,,,,,,,,,[]
30,EQ ID 30,Forklift T 1,Shipping,8095,,,,,,,,,,,[]
30,EQ ID 30,Forklift T 1,Shipping,10264,,,,,,,,,,,[]
30,EQ ID 30,Forklift T 1,Shipping,12317,,,,,,,,,,,[]
30,EQ ID 30,Forklift T 1,Shipping,12621,,,,,,,,,,,[]
32,EQ ID 32,Stacker # 18,Shipping,1706,,,,,,,,,,,[]
32,EQ ID 32,Stacker # 18,Shipping,1823,,,,,,,,,,,[]
32,EQ ID 32,Stacker # 18,Shipping,1832,,,,,,,,,,,[]
32,EQ ID 32,Stacker # 18,Shipping,2154,,,,,,,,,,,[]
32,EQ ID 32,Stacker # 18,Shipping,2303,,,,,,,,,,,[]
32,EQ ID 32,Stacker # 18,Shipping,3716,,,,,,,,,,,[]
32,EQ ID 32,Stacker # 18,Shipping,4297,,,,,,,,,,,[]
32,EQ ID 32,Stacker # 18,Shipping,4833,,,,,,,,,,,[]
32,EQ ID 32,Stacker # 18,Shipping,5390,,,,,,,,,,,[]
32,EQ ID 32,Stacker # 18,Shipping,7013,,,,,,,,,,,[]
32,EQ ID 32,Stacker # 18,Shipping,8067,,,,,,,,,,,[]
32,EQ ID 32,Stacker # 18,Shipping,10813,,,,,,,,,,,[]
32,EQ ID 32,Stacker # 18,Shipping,12702,,,,,,,,,,,[]
32,EQ ID 32,Stacker # 18,Shipping,13981,,,,,,,,,,,[]
32,EQ ID 32,Stacker # 18,Shipping,14160,,,,,,,,,,,[]
32,EQ ID 32,Stacker # 18,Shipping,16314,,,,,,,,,,,[]
32,EQ ID 32,Stacker # 18,Shipping,15628,,,,,,,,,,,[]
1167,EQ ID 1167,#20 Jungheinrich ETV 318 Hi Reach Forklift,Shipping,1030,,,,,,,,,,,[]
