equipment_id,equipment_eq_id,equipment_name,department,wo_id,date_notified,urgency,problem,status,material_cost,labor_time,work_performed_by,downtime_hours,completed_datetime,comments,attachments
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,1111,,,,,,,,,,,[]
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,1286,,,,,,,,,,,[]
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,1459,05/23/2022,1. Prod Stopped,Margarita machine keeps breaking the chimney. we reset it twice.,Closed and Completed,0,0,PU & MD,0,05/24/2022 12:00 AM,"Primo Uy - 05/24/22  9:23:53 AM: Line is using the Margarita's Machine since the last calibration, its working properly now, Add a marking/Guide to easily visualized where the Air Slot should be oriented for proper set up. | Primo Uy - 05/24/22  8:33:22 AM: Recalibrate the machine multiple time to set  the air tube slot of the upper clamp properly to prevent the breakage. Line is using the margarita machine for now and will continue to monitor the progress before closing the work order. | Miguel Diaz - 05/23/22 11:51:55 AM: Tried calibrating the machine using ME method  using a one finger touch for calibration and machine is still not working properly .We have no instructions on how to fix this issue since its a custom machine   .Operators are doing the function by hand .Suggest placing a troubleshooting guide for this machine next to it so when no one is here we can have something to go by .",[]
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,1521,05/27/2022,"3. Prod Affected, Not Stopped",Bottom pin that  holds the bottle came off,Closed and Completed,0,0.2,PU,0.3,05/27/2022 12:00 AM,Primo Uy - 05/27/22 10:17:28 AM: Add super glue and reinstalled the pin.,[]
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,1530,05/31/2022,"5. Prod Ongoing, Maint Required",Lower pin on the Margarita machine fell off.,Closed and Completed,0,0.15,PU,0.2,05/31/2022 10:00 AM,Primo Uy - 05/31/22 10:20:35 AM: Re-installed pin with Loctite.,[]
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,1535,05/31/2022,"3. Prod Affected, Not Stopped",Operator said that the bottle  assembly does not line up/under torque.,Closed and Completed,0,0.35,PU,0.2,05/31/2022 01:00 PM,"Primo Uy - 05/31/22  1:20:11 PM: For now I added adhesive tape to the three claws that grab the bottom unit when applying the torque. Look like we  have a slippage.
I will also ask ME/Jose if we can adjust the Torque setting or rating on the bottom motor.",[]
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,1670,06/13/2022,4. Prod Continuing but Affected Equipment stopped,"Margarita machine overtightening bottles, top portion of the machine are not lined up correctly.",Closed and Completed,0,0.5,PU,0.35,06/14/2022 12:00 AM,"Primo Uy - 06/14/22 10:10:10 AM: Sensor come loose, readjust the sensor to properly index the top cap properly. Add Blue loctite to the sensor screw/nut. its now  stop on the home position correctly when finishing the cycle. | Miguel Diaz - 06/13/22  1:50:18 PM: Machine does not index after several finger jogs it stops in different areas each time .lastly I un-plugged it and still nothing operator is tightening by hand till ME can fix .",[]
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,1725,06/20/2022,1. Prod Stopped,Tester not working for 8281 units.,Closed and Completed,0,0.35,PU,0.3,06/20/2022 12:00 AM,"Primo Uy - 06/20/22 12:00:58 PM: Line is working on the 8281 series. Margarita got stuck in down position and would not release the units. I have to disconnect the air supply and to release the slider back up.
I then recalibrate the Margarita's Machine. Margarita's is now working after the adjustment.
Ask operator to check that the test unit is properly sitting on the nest, the tower ( small air tube) must be sitting inside the slot of the cap fixture (Top).  8281 is now back on line.",[]
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,1765,06/23/2022,"3. Prod Affected, Not Stopped",Bottom Pin that holds bottle in machine fell out again,Closed and Completed,0,0.2,PU,0,06/23/2022 09:00 AM,Primo Uy - 06/23/22  9:51:46 AM: Clean the pin and reinsert with a drop of Thread Loctite. Last time we use super Glue and still coming off.,[]
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,2413,09/20/2022,"3. Prod Affected, Not Stopped",Pin that hold bottle in place fell off and needs to be fixed.,Closed and Completed,0,0.2,PU,0,09/20/2022 12:00 AM,Primo Uy - 09/20/22 10:54:53 AM: Replaced the pin.,[]
